Section,Item Type,Item Name,Full,View,Create,Edit,Delete,Approve,Recommendation,Notes
Dashboard,Parent,Dashboard,YES,YES,YES,YES,YES,NO,Check if needed,
Dashboard,Sub,Overview Widget,YES,YES,YES,YES,YES,NO,Check if needed,
Dashboard,Sub,Production Metrics,YES,YES,YES,YES,YES,NO,Check if needed,
Dashboard,Sub,Recent Activity,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Parent,Schedule Generator,YES,YES,YES,YES,YES,YES,Check if needed,
Scheduling,Sub,Create Schedule,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Sub,Edit Schedule,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Sub,Publish Schedule,YES,YES,YES,YES,YES,YES,Check if needed,
Scheduling,Sub,Schedule History,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Parent,Schedule Generator Dashboard,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Sub,Timeline View,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Sub,Calendar View,YES,YES,YES,YES,YES,NO,Check if needed,
Scheduling,Sub,Statistics,YES,YES,YES,YES,YES,NO,Check if needed,
Charts,Parent,Chart,YES,YES,YES,YES,YES,NO,Check if needed,
Charts,Sub,Timeline View,YES,YES,YES,YES,YES,NO,Check if needed,
Charts,Sub,Gantt Chart,YES,YES,YES,YES,YES,NO,Check if needed,
Charts,Sub,KPI Charts,YES,YES,YES,YES,YES,NO,Check if needed,
Analytics,Parent,Analytics,YES,YES,YES,YES,YES,NO,Check if needed,
Analytics,Sub,Production Efficiency,YES,YES,YES,YES,YES,NO,Check if needed,
Analytics,Sub,Quality Analytics,YES,YES,YES,YES,YES,NO,Check if needed,
Analytics,Sub,Machine Analytics,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Parent,Attendance,YES,YES,YES,YES,YES,YES,Check if needed,
Attendance,Sub,View Attendance,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Sub,Mark Attendance,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Sub,Attendance Reports,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Sub,Leave Management,YES,YES,YES,YES,YES,YES,Check if needed,
Attendance,Parent,Standalone Attendance,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Sub,Employee Self-Service,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Sub,Attendance Sync,YES,YES,YES,YES,YES,NO,Check if needed,
Attendance,Sub,Attendance Reports,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Parent,Orders,YES,YES,YES,YES,YES,YES,Check if needed,
Production,Sub,Create Order,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Edit Order,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Order Status,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Order Approval,YES,YES,YES,YES,YES,YES,Check if needed,
Production,Parent,Machines,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Machine List,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Machine Status,YES,YES,YES,YES,YES,NO,Check if needed,
